Name,Points Per Game(PPG),Position,Goals (G),Assists (A),Country,Games Played(GP),Height,Weight,Penalties in Minutes(PIM),"""+/- Goal Differential""",Shots on Goal(SOG),Age,Shoot,TM(Total Minutes(In duration here)),Points,PDF Source,IIHF Country Source
Sarah Fillier,1.571,F,7,4,Canada,7,165,65,2,9,30,22,R,1:45:52,11,Canada- Player Stats,Canada- Team Roster
Erin Ambrose,1,D,0,7,Canada,7,165,64,0,3,12,28,R,2:12:46,7,Canada- Player Stats,Canada- Team Roster
Renata Fast,0.714,D,1,4,Canada,7,168,65,4,4,19,28,R,2:38:06,5,Canada- Player Stats,Canada- Team Roster
Marie-Philip Poulin,1.143,F,4,4,Canada,7,170,73,8,3,28,32,L,2:08:15,8,Canada- Player Stats,Canada- Team Roster
Sarah Nurse,1.143,F,4,4,Canada,7,175,67,6,8,25,28,L,1:57:17,8,Canada- Player Stats,Canada- Team Roster
Jocelyne Larocque,0.429,D,0,3,Canada,7,168,66,4,4,16,34,L,2:39:35,3,Canada- Player Stats,Canada- Team Roster
Brianne Jenner,1,F,3,4,Canada,7,175,71,2,2,36,31,R,2:06:09,7,Canada- Player Stats,Canada- Team Roster
Natalie Spooner,0.857,F,2,4,Canada,7,178,77,4,7,10,32,R,1:22:07,6,Canada- Player Stats,Canada- Team Roster
Blayre Turnbull,0.857,F,2,4,Canada,7,170,68,6,0,15,29,R,1:45:44,6,Canada- Player Stats,Canada- Team Roster
Claire Thompson,0.286,D,0,2,Canada,7,173,67,10,2,19,25,L,2:11:41,2,Canada- Player Stats,Canada- Team Roster
Jamie Lee Rattray,0.571,F,1,3,Canada,7,170,70,2,2,11,30,L,1:03:53,4,Canada- Player Stats,Canada- Team Roster
Micah Zandee-Hart,0.143,D,0,1,Canada,7,173,68,2,4,2,26,L,1:29:00,1,Canada- Player Stats,Canada- Team Roster
Ella Shelton,0.143,D,0,1,Canada,7,173,80,0,4,13,25,L,1:25:50,1,Canada- Player Stats,Canada- Team Roster
Jaime Bourbonnais,0.143,D,0,1,Canada,7,170,57,2,4,6,24,R,1:15:37,1,Canada- Player Stats,Canada- Team Roster
Laura Stacey,0.286,F,2,0,Canada,7,178,71,6,0,25,28,R,1:41:59,2,Canada- Player Stats,Canada- Team Roster
Rebecca Johnston,0.286,F,2,0,Canada,7,175,68,0,1,18,33,L,1:48:00,2,Canada- Player Stats,Canada- Team Roster
Emily Clark,0.286,F,0,2,Canada,7,170,70,2,1,16,27,L,1:40:38,2,Canada- Player Stats,Canada- Team Roster
Danielle Serdachny,0.143,F,0,1,Canada,7,174,71,2,2,9,21,R,0:50:35,1,Canada- Player Stats,Canada- Team Roster
Emma Maltais,0.143,F,0,1,Canada,7,160,66,0,1,7,23,L,1:10:28,1,Canada- Player Stats,Canada- Team Roster
Kristin O'Neill,0,F,0,0,Canada,7,163,57,2,0,10,25,L,1:21:54,0,Canada- Player Stats,Canada- Team Roster
Sara Cajanova,0.571,D,1,3,Czech Republic,7,170,63,2,-2,9,20,L,2:30:47,4,Czech Republic - Player stats,Czech Republic - Team Roster
Dominika Laskova,0.429,D,0,3,Czech Republic,7,167,70,12,-1,9,26,R,2:51:26,3,Czech Republic - Player stats,Czech Republic - Team Roster
Aneta Tejralova,0.429,D,0,3,Czech Republic,7,164,53,2,0,15,27,L,2:46:31,3,Czech Republic - Player stats,Czech Republic - Team Roster
Daniela Pejsova,0.286,D,1,1,Czech Republic,7,175,70,4,-5,12,20,L,2:54:33,2,Czech Republic - Player stats,Czech Republic - Team Roster
Denisa Krizova,0.714,F,3,2,Czech Republic,7,165,64,4,-2,19,28,L,1:52:30,5,Czech Republic - Player stats,Czech Republic - Team Roster
